Дата,Авангард-Агро. 01,АВТОВАЗ. 03,АгроКомплекс. 01,АгроКомплекс. БО-01,Аптечная сеть 36.6. 02,Атомэнергопром. 06,Балтийский берег. 01,Башнефть. 01,Башнефть. 02,Башнефть. 03,Башнефть. 04,Башнефть. 06,Башнефть. 07,Башнефть. 08,Башнефть. 09,Башнефть. БО-01,Башнефть. БО-05,Буровая компания Евразия. 01,ВБД ПП. 02,ВБД ПП. 03,ВБД ПП. БО-01,ВБД ПП. БО-02,ВБД ПП. БО-03,ВБД ПП. БО-06,ВБД ПП. БО-07,ВБД ПП. БО-08,Виктория-Финанс. БО-01,Газпром Капитал. 04,Газпром Капитал. 05,Газпром Капитал. 06,Газпром нефть. 03,Газпром нефть. 04,Газпром нефть. 08,Газпром нефть. 09,Газпром нефть. 10,Газпром нефть. 11,Газпром нефть. 12,Газпром нефть. БО-05,Газпром нефть. БО-06,Газпром. 08,Газпром. 09,Газпром. 11,Газпром. 13,Газпром. БО-21,ГАЗ-финанс. 01,ГИДРОМАШСЕРВИС. 02,ГИДРОМАШСЕРВИС. 03,Гражданские самолеты Сухого. 01,Гражданские самолеты Сухого. БО-01,Гражданские самолеты Сухого. БО-02,Гражданские самолеты Сухого. БО-03,Группа Джей Эф Си. 01,Группа Разгуляй. БО-16,Группа Черкизово. 01,Группа Черкизово. БО-03,Группа Черкизово. БО-04,Детский мир. 01,Дикси  - Финанс. 01,ЕвразХолдинг Финанс. 01,ЕвразХолдинг Финанс. 02,ЕвразХолдинг Финанс. 03,ЕвразХолдинг Финанс. 04,ЕвразХолдинг Финанс. 05,ЕвразХолдинг Финанс. 07,завод Арсенал. 04,Завод Ремпутьмаш. 01,ИКС 5 ФИНАНС. 01,ИКС 5 ФИНАНС. 04,ИКС 5 ФИНАНС. БО-01,ИКС 5 ФИНАНС. БО-02,ИКС 5 ФИНАНС. БО-03,ИРКУТ. 03,ИРКУТ. БО-01,ИРКУТ. БО-04,Иркутскэнерго. 01,Иркутскэнерго. БО-01,ИТЕРА ФИНАНС. 01,КАМАЗ. БО-01,КАМАЗ. БО-02,КАМАЗ. БО-03,Квадра (ТГК-4). 01,Кокс. 02,Кокс. БО-02,КОМОС ГРУПП. 01,КОМОС ГРУПП. БО-01,Кубаньэнерго. 01,Кузбассэнерго-Финанс. 01,Кузбассэнерго-Финанс. 02,ЛЕНТА. 02,ЛЕНТА. 03,Ленэнерго. 02,Ленэнерго. 03,Ленэнерго. 04,Ленэнерго. БО-01,Лукойл. 03,Лукойл. 04,Лукойл. БО-01,Лукойл. БО-02,Лукойл. БО-03,Лукойл. БО-04,Лукойл. БО-05,Лукойл. БО-06,Лукойл. БО-07,Лукойл. БО-18,Лукойл. БО-19,Лукойл. БО-20,Магнит. 01,Магнит. БО-01,Магнит. БО-02,Магнит. БО-03,Магнит. БО-04,Магнит. БО-05,Магнит. БО-06,Магнит. БО-07,Мечел. 02,Мечел. 04,Мечел. 05,Мечел. 13,Мечел. 14,Мечел. 15,Мечел. 16,Мечел. 17,Мечел. 18,Мечел. 19,Мечел. БО-01,Мечел. БО-02,Мечел. БО-04,Мечел. БО-05,Мечел. БО-11,Мечел. БО-12,Микояновский мясокомбинат. 02,Микояновский мясокомбинат. БО-01,Мир мягкой игрушки. 01,Мираторг Финанс. БО-01,Мираторг Финанс. БО-03,ММК. 18,ММК. 19,ММК. БО-01,ММК. БО-02,ММК. БО-03,ММК. БО-04,ММК. БО-05,ММК. БО-06,ММК. БО-07,ММК. БО-08,Московская объединенная энергетическая компания (МОЭК). 01,Мосэнерго. 01,Мосэнерго. 02,Мосэнерго. 03,Мосэнерго. БО-02,МОЭСК. 01,МОЭСК. БО-01,МОЭСК. БО-03,МРСК Урала. БО-01,МРСК Центра и Приволжья. БО-01,МРСК Центра. БО-01,МРСК Юга. 02,ННК-Актив (бывш. НК Альянс). 03,ННК-Актив (бывш. НК Альянс). 04,ННК-Актив (бывш. НК Альянс). 06,ННК-Актив (бывш. НК Альянс). БО-01,НОВАТЭК. БО-01,НОВАТЭК. БО-02,НОВАТЭК. БО-03,НОВАТЭК. БО-04,Новолипецкий металлургический комбинат. 07,Новолипецкий металлургический комбинат. 08,Новолипецкий металлургический комбинат. БО-01,Новолипецкий металлургический комбинат. БО-02,Новолипецкий металлургический комбинат. БО-03,Новолипецкий металлургический комбинат. БО-04,Новолипецкий металлургический комбинат. БО-05,Новолипецкий металлургический комбинат. БО-06,Новолипецкий металлургический комбинат. БО-07,Новолипецкий металлургический комбинат. БО-11,Новолипецкий металлургический комбинат. БО-12,Новолипецкий металлургический комбинат. БО-13,Новопластуновское. 01,НПК Уралвагонзавод. 01,НПК Уралвагонзавод. 02,НПК Уралвагонзавод. БО-01,НПК Уралвагонзавод. БО-02,НПО Сатурн. 02,НПО Сатурн. 03,ОАО DOMO. БО-01,ОАО DOMO. БО-02,Обувьрус. 01,ОГК-2. 01,ОГК-6. 01,ОКЕЙ. 02,ОКЕЙ. БО-04,ОКЕЙ. БО-05,ОМЗ. 05,ОМЗ. 06,ОПК ОБОРОНПРОМ. 01,ОПК ОБОРОНПРОМ. 02,ПО УОМЗ. 04,Разгуляй-Финанс. 03,Разгуляй-Финанс. 04,Разгуляй-Финанс. БО-01,Разгуляй-Финанс. БО-02,Разгуляй-Финанс. БО-03,Роснефть. 04,Роснефть. 05,Роснефть. 06,Роснефть. 07,Роснефть. 08,Роснефть. 09,Роснефть. 10,Роснефть. БО-02,Роснефть. БО-05,Роснефть. БО-06,Роснефть. БО-07,Роснефть. БО-08,Роснефть. БО-09,Роснефть. БО-10,Роснефть. БО-18,Роснефть. БО-19,Роснефть. БО-20,Роснефть. БО-21,Роснефть. БО-22,Роснефть. БО-23,Роснефть. БО-25,Роснефть. БО-26,РусГидро. 01,РусГидро. 02,РусГидро. 07,РусГидро. 08,РусГидро. 09,Русская Аквакультура (бывш. Русское море). БО-01,Русское Море (АО). 01,РуссНефть. 01,Северсталь. БО-01,Северсталь. БО-02,Северсталь. БО-04,Сибирская Аграрная Группа. 02,СИБМЕТИНВЕСТ. 01,СИБМЕТИНВЕСТ. 02,Силовые машины. 02,Синергия. 03,Синергия. БО-01,СОЛЛЕРС. 02,СОЛЛЕРС. БО-02,Т Плюс (бывш. Волжская ТГК). 01 (ранее ТГК-5. 01),Т Плюс (бывш. Волжская ТГК). 01 (ранее ТГК-6. 01),Т Плюс (бывш. Волжская ТГК). 01 (ранее ТГК-9. 01),Татнефть. БО-01,ТВЗ. 03,ТГК-1. 01,ТГК-1. 02,ТГК-1. 03,ТГК-1. 04,ТГК-2. БО-02,ТД Копейка (ОАО). 02,ТД Копейка (ОАО). 03,ТД Спартак-Казань. БО-01,ТМК. 03,ТМК. БО-01,Трансмашхолдинг. 02,Трансмашхолдинг. БО-01,Транснефть. 01,Транснефть. 03,Транснефть. БО-01,Транснефть. БО-02,Транснефть. БО-03,Тюменьэнерго. 02,УК ГидроОГК. 01,УМПО. 03,Фортум (ТГК-10). 01,ФСК ЕЭС. 04,ФСК ЕЭС. 06,ФСК ЕЭС. 07,ФСК ЕЭС. 08,ФСК ЕЭС. 09,ФСК ЕЭС. 10,ФСК ЕЭС. 11,ФСК ЕЭС. 12,ФСК ЕЭС. 13,ФСК ЕЭС. 15,ФСК ЕЭС. 18,ФСК ЕЭС. 19,ФСК ЕЭС. 21,ФСК ЕЭС. 22,ФСК ЕЭС. 24,ФСК ЕЭС. 25,ФСК ЕЭС. БО-01,ХК Металлоинвест. 01,ХК Металлоинвест. 02,ХК Металлоинвест. 03,ХК Металлоинвест. 05,ХК Металлоинвест. 06,ЧТПЗ. 01,ЧТПЗ. 03,ЧТПЗ. БО-01,Энел Россия (бывш. Энел ОГК-5). 01,Энел Россия (бывш. Энел ОГК-5). БО-01,Энел Россия (бывш. Энел ОГК-5). БО-02,Энел Россия (бывш. Энел ОГК-5). БО-15,Энел Россия (бывш. Энел ОГК-5). БО-18,Югинвестрегион. БО-01,Якутскэнерго. 02,Якутскэнерго. БО-01,ЯТЭК (бывш. Якутгазпром). БО-01
15.01.2010,0,104.55,0,0,97.19,0,0,111.78,111.34,111.01,0,0,0,0,0,0,0,0,107.84,157.33,0,0,0,0,0,0,0,0,0,0,184.51,149.75,0,0,0,0,0,0,0,114.57,124.26,126.32,116.9,0,172.52,0,0,149.19,0,0,0,0,0,115.04,0,0,82.81,123,0,0,0,0,0,0,0,0,101.29,130.31,0,0,0,126.74,0,0,0,0,130.42,0,0,0,0,126.64,0,0,0,0,0,0,0,0,136.62,114.4,0,0,105.5,104.28,169.24,168.43,169.18,168.94,169.29,108.66,109.21,178.79,178.32,178.77,0,0,0,0,0,0,0,0,105.86,154.79,128.86,0,0,0,0,0,0,0,122.12,0,0,0,0,0,0,0,0,0,0,0,0,115.45,108.49,0,0,0,0,0,0,138.81,146.91,124.42,113.75,145.57,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,111.81,0,0,0,125.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.72,117.08,0,0,0,147.01,113.53,0,0,0,144.54,108.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.11,150.93,0,0,0,132.72,133.49,0,0,0,133.17,0,0,0,0,0,0,125.71,115.21,0,0,0,0,0,0,139.46,0,0,0,189.83,138.62,0,0,0,122.44,103.23,114.42,0,118.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.01,0,117.3,139.77,158.9,0,0,0,0,0,0,0
22.01.2010,0,106.65,0,0,101.3,0,0,114.72,114.62,114.62,0,0,0,0,0,0,0,0,109.17,161.44,0,0,0,0,0,0,0,0,0,0,115.43,153,0,0,0,0,0,0,0,116.3,127.28,129.27,119.24,0,177.35,0,0,151.62,0,0,0,0,0,117.97,0,0,86.7,124.41,0,0,0,0,0,0,0,0,102.33,133.75,0,0,0,129.14,0,0,0,0,132.66,0,0,0,0,128.79,0,0,0,99.61,0,0,0,0,137.39,114.4,0,0,106.63,106.7,171.36,171.35,171.35,171.35,171.31,111.26,110.68,181.03,181.23,180.34,0,0,0,0,0,0,0,0,107.75,157.71,101.02,0,0,0,0,0,0,0,124.24,0,0,0,0,0,0,0,0,0,0,0,0,116.62,111.12,0,0,0,0,0,0,140.69,149.76,127.92,116.56,148.31,126.45,0,0,0,0,0,176.95,0,0,0,0,0,0,0,0,0,0,113.75,0,0,0,127.65,0,0,0,0,0,0,0,0,0,0,153.15,0,0,0,0,104.4,118.73,0,0,0,149.87,116.38,0,0,0,107.31,112.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,112.11,152.97,0,0,0,139.35,139.37,0,0,0,96.95,0,0,0,0,0,0,126.95,118.26,0,0,0,0,0,0,141.31,0,174.72,0,199.5,141.05,0,0,0,123.79,104.94,118.7,106.65,120.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.31,0,120.34,142.92,158.9,160.66,0,0,0,0,0,0
29.01.2010,0,107.73,0,0,107.07,0,0,117.01,117.08,117.07,0,0,0,0,0,0,0,0,111.34,165.16,0,0,0,0,0,0,0,0,0,0,117.87,156.28,0,0,0,0,0,0,0,113.64,127.63,131.8,121.8,0,180.76,0,0,154.15,0,0,0,143.45,0,120.36,0,0,88.08,126.82,0,0,0,0,0,0,0,0,104.78,137.51,0,0,0,129.14,0,0,0,0,136.37,0,0,0,111.24,130.99,0,0,0,100.45,0,0,0,0,137.39,116.47,0,0,108.53,106.63,173.83,174.06,174.36,172.82,174.01,112.04,111.93,182.85,182.47,183.38,0,0,0,0,0,0,0,0,109.58,114.66,103.55,0,0,0,0,0,0,0,126.91,0,0,0,0,0,187.34,0,0,0,0,0,0,119.28,112.61,0,0,0,0,0,0,100.12,152.33,129.99,118.23,149.99,127.88,0,0,0,0,0,180.34,0,0,0,0,0,0,0,0,0,0,115.89,0,0,0,129.82,0,0,0,0,0,0,0,0,0,0,155.24,0,0,0,0,105.87,120.36,0,0,0,152.35,118.88,0,0,0,107.31,115.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,117.35,155.49,0,0,120.37,141.34,141.58,0,0,0,98.45,0,0,0,0,0,0,128.78,121.48,0,0,0,132.55,0,0,142.95,0,178.37,0,202.8,143.28,0,0,0,125.2,105.4,121.46,108.95,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.33,120.81,123.51,145.27,102.08,160.66,0,0,0,164.84,0,0
05.02.2010,0,109.84,0,0,107.21,0,0,119.69,119.71,119.29,0,0,0,0,0,0,0,0,113.03,167.21,0,0,0,0,0,0,0,0,0,0,120.97,159.06,0,0,0,0,0,0,0,116.78,129.52,134.36,124.32,0,180.76,0,0,156.82,0,0,0,143.45,0,122.96,0,0,90.21,127.9,0,0,0,0,0,0,0,0,105.96,140.32,0,0,0,132.81,0,0,0,0,140.7,0,0,0,112.9,132.86,0,0,0,100.53,0,0,0,0,97.64,118.01,0,0,111.09,107.91,175.85,175.4,175.83,175.8,176.38,114.65,114.42,186.21,186.21,186.21,0,0,0,0,0,0,0,0,110.95,118.57,105.85,0,0,0,0,0,0,0,128.77,0,0,0,0,0,187.34,0,0,0,0,0,0,120.99,114.64,0,0,0,0,0,0,101.48,154.97,131.76,120.81,152.63,130.08,0,0,0,0,0,183.97,0,0,0,0,0,0,0,0,0,0,117.9,0,0,0,132.18,0,0,0,0,0,0,0,0,0,0,158.48,0,0,0,0,107.34,121.82,0,0,0,154.85,121.37,0,0,0,158.21,123.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,118.94,158.37,0,0,120.37,144.21,144.22,0,133.93,0,99.64,0,0,0,0,0,107.88,129.91,124.17,0,0,0,142.18,121.67,0,145,0,178.37,0,198.64,143.28,0,0,0,126.67,108.03,123.93,108.95,122.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.72,125.12,124.87,147.83,105.36,104.43,0,0,0,164.84,0,0
12.02.2010,0,112.38,0,0,107.7,0,0,121.96,122.01,121.9,0,0,0,0,0,0,0,0,114.51,169.44,0,0,0,0,0,0,0,0,0,0,123.86,162.49,0,0,0,0,0,0,0,120.13,131.07,137.13,126.86,0,99.58,0,0,160.64,0,0,0,143.45,0,125.29,0,0,91.07,130.43,0,0,0,0,0,0,0,0,107.66,142.14,0,0,0,133.67,0,0,0,0,143.67,0,0,0,112.9,134.3,0,0,0,101.88,0,0,0,0,100.01,120.2,0,0,111.3,109.21,112.77,112.89,112.81,112.94,112.58,116.99,116.98,188.83,188.81,188.79,0,0,0,0,0,0,0,0,112.81,122.37,109.36,0,0,0,0,0,0,0,131.39,0,0,0,0,0,187.34,0,0,0,0,0,0,122.51,116.44,0,0,0,0,0,0,103.7,157.37,133.21,122.66,154.54,132.54,0,0,0,0,0,187.62,0,0,0,0,0,0,0,0,0,0,119.86,0,0,0,134.35,0,0,0,0,0,0,0,0,0,0,161.29,0,0,0,0,108.84,123.38,0,0,0,157.34,123.86,0,0,0,160.67,128.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,122.08,161.27,0,0,120.37,147.27,147.17,0,133.93,0,102.26,0,0,0,0,0,107.88,131.94,128.21,0,0,0,142.18,121.67,0,145,0,100.23,0,201.44,149.08,0,0,0,128.16,109.97,128.12,108.95,124.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.79,125.12,129.64,150.14,106.78,104.43,0,0,0,164.84,0,0
19.02.2010,0,113.47,0,0,114.81,0,0,124.61,124.63,124.69,0,0,0,0,0,0,0,0,115.94,172.72,0,0,0,0,0,0,101.23,0,0,0,126.96,166.06,0,0,0,0,0,0,0,121.17,96.04,139.59,129.39,0,102.83,0,0,163.57,0,0,0,143.45,0,127.41,0,0,97.38,132.46,0,0,0,0,0,0,0,0,109.17,148.1,0,0,0,136.39,0,0,0,0,147.15,0,0,0,112.9,135.46,0,0,0,102.59,0,0,0,0,103.11,122.15,0,0,113.35,111.8,112.77,115.61,115.61,114.43,113.93,118.29,118.28,191.34,190.23,191.32,0,0,0,0,0,0,0,0,114.71,127.92,113.26,0,0,0,0,0,0,0,135.06,0,0,0,0,0,102.43,0,0,0,0,0,0,125.17,119.54,0,0,0,0,0,0,103.7,158.88,134.67,125.11,156.42,130.02,0,0,0,0,0,190.97,0,0,0,0,0,0,0,0,0,0,123,0,0,0,137.22,0,0,0,0,0,0,0,0,0,0,166.26,0,0,0,0,110.44,124.65,0,0,0,157.34,123.86,0,0,0,163.45,132.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,122.08,165.18,0,0,129.77,151.51,151.41,0,133.93,0,104.05,0,0,0,0,0,107.88,133.34,132.2,0,0,0,111.9,121.67,0,101.18,0,100.23,0,204.01,151.52,0,0,0,129.69,111.3,132.17,112.49,125.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.65,125.12,133,152.14,110.32,104.43,0,0,0,164.84,0,0
26.02.2010,0,113.47,0,0,118.43,0,0,127.41,127.35,127.44,0,0,0,0,0,0,0,0,115.94,176.44,0,0,0,0,0,0,103.44,0,0,0,129.82,169.28,0,0,0,0,0,0,0,121.17,96.04,142.39,131.98,0,106.54,0,0,166.12,0,0,0,143.45,0,130.19,0,0,101.05,134.38,0,0,0,0,0,0,0,0,110.58,151.27,0,0,0,138.63,0,0,0,0,150.67,0,0,0,112.9,137.87,0,0,0,103.77,0,0,0,0,105.12,125.37,0,0,114.77,112.81,118.39,118.38,117.93,118.38,117.68,120.49,118.28,193.86,193.83,193.86,0,0,0,0,0,0,0,0,116.41,131.6,116.29,0,0,0,0,0,0,0,138.12,0,0,0,0,0,102.43,0,0,0,0,0,0,126.96,120.85,0,0,0,0,0,0,107.4,161.82,98.71,128.48,102.51,136.22,0,0,0,0,0,190.97,0,0,0,0,0,0,0,0,0,0,125.67,0,0,0,140.18,0,0,0,0,0,0,0,0,0,0,166.26,0,0,0,0,111.93,125.96,0,0,0,157.34,123.86,0,0,0,167.71,132.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,122.08,167.86,103.39,103.31,134.64,153.92,153.92,0,133.93,0,105.77,0,0,0,0,0,107.88,135.08,134.74,0,0,0,110.07,121.67,0,103.4,0,100.23,0,207.25,153.84,0,0,0,131.17,112.66,135.08,112.49,127.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.29,125.12,136.16,155.84,112.08,111.11,0,0,0,179.27,0,0
05.03.2010,0,117.95,0,0,120.96,0,0,131.5,131.36,131.58,0,0,0,0,0,0,0,0,120.38,104.28,0,0,0,0,0,0,105.59,0,0,0,133.67,172.72,0,0,0,0,0,0,0,126.35,100.08,146.76,135.93,0,111.59,0,0,169.23,0,0,0,143.45,0,134.08,0,0,104.73,139.61,0,0,0,0,0,0,0,0,112.29,155.38,0,0,0,140,0,0,0,0,153.7,0,0,0,118.65,140.21,0,125.1,0,104.02,0,0,0,0,108,127.66,0,0,115.63,116.02,121.79,121.75,121.74,121.28,121.37,122.65,123.33,196.33,196.31,196.32,0,0,0,0,0,0,0,0,118.38,137.24,120.68,0,0,0,0,0,0,0,141.14,0,0,0,0,0,111.14,0,0,0,0,0,0,128.8,124.5,0,0,0,0,0,0,108.69,165.36,100.92,130.86,104.63,137.01,0,0,0,0,0,112.94,0,0,0,0,0,0,0,0,0,0,127.23,0,0,0,143.08,0,0,0,0,0,0,0,0,0,0,172.04,117.11,0,0,0,113.45,127.61,0,0,0,157.34,130.99,0,0,0,171.98,140.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,131.08,171.22,106.94,107,135.18,159.96,159.95,0,99.92,0,108.4,0,0,0,0,0,107.88,136.11,134.74,0,0,0,115.23,121.67,0,106.11,0,105.16,0,208.17,155.76,0,0,0,132.69,114.83,139.12,112.49,128.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.53,127.79,141.33,158.4,114.66,114.67,0,0,0,179.27,0,0
12.03.2010,0,120.54,0,0,93.6,0,0,134.9,134.72,134.88,0,0,0,0,0,0,0,0,120.38,107.53,0,0,0,0,0,0,108.48,0,0,0,137.2,176.13,0,0,0,0,0,0,0,124.2,101.96,151.09,139.12,0,115.33,0,0,172.1,0,0,0,160.59,0,137.28,0,0,111.27,140.93,0,0,0,0,0,0,0,0,113.84,159.53,0,0,0,142.89,0,0,0,0,157.92,0,0,0,118.65,142.44,0,125.1,0,104.98,0,0,0,0,110.13,130.5,0,0,117.84,117.65,124.35,125.2,124.36,125.2,125.2,125.47,125.9,198.99,199.02,198.96,0,0,0,0,0,0,0,0,119.89,142.33,124.55,0,0,0,0,0,0,0,144.88,0,0,0,0,0,112.62,0,0,0,0,0,0,131.15,126.52,0,0,0,0,0,0,110.64,167.18,103.3,130.86,106.49,99.35,0,0,0,0,0,116.57,0,0,0,0,0,0,0,0,0,0,130.33,0,0,0,145.43,100.89,0,0,0,0,0,0,0,0,0,177.25,119.98,0,0,0,115.05,129.18,0,0,0,157.34,130.99,0,0,0,175.31,143.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,131.08,174.34,109.64,109.67,135.18,165.72,165.68,0,99.92,0,110.64,0,0,0,0,0,107.88,137.15,141.54,0,0,0,118.43,105.37,0,108.14,0,106.39,0,213.32,159.01,0,0,0,134.27,116.58,143.27,112.49,130.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.57,127.79,145.16,160.92,117.04,115.94,0,0,0,179.27,0,0
19.03.2010,0,122.47,0,0,98.27,0,0,137.8,137.7,137.8,0,0,0,0,0,0,0,0,123.69,110.4,0,0,0,0,0,0,110.52,0,0,0,140.07,179.42,0,0,0,0,0,0,0,127.15,105.44,154.14,141.69,0,118.72,0,0,174.07,0,0,0,160.59,0,140.38,0,0,112.74,97.86,0,0,0,0,0,0,0,0,115.4,162.97,0,0,0,101.04,0,0,0,0,159.55,0,0,0,118.65,142.44,0,125.1,0,106.24,0,0,0,0,112.06,132.16,0,0,120.26,119.3,127.87,125.81,127.4,125.2,127.18,127.44,127.44,201.4,201.4,201.42,0,0,0,0,0,0,0,0,121.48,146.1,126.86,0,0,0,0,0,0,0,147.95,101.11,0,0,0,0,117.32,0,0,0,0,0,0,133.06,128.62,0,0,0,0,0,0,112.44,108.28,104.5,134.71,109.09,100.53,0,0,0,0,0,119.72,0,0,0,0,0,0,0,0,0,0,131.7,0,0,0,147.31,102.34,0,0,0,0,0,0,0,0,0,178.56,119.98,0,0,0,116.84,130.67,0,0,0,106.05,137.4,0,0,0,175.31,143.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.97,131.08,176.46,111.68,111.36,102.13,168.08,167.85,0,105.85,0,112.11,0,0,0,0,0,107.88,101.5,145.33,0,0,0,121.11,105.37,0,110.02,0,107.83,0,215.5,161.87,0,0,0,135.79,118.62,144.75,112.49,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.51,136.35,148.85,164.32,119.43,118.81,0,0,0,103.61,0,0
26.03.2010,0,124.02,0,0,101.17,0,0,139.85,139.77,139.7,0,0,0,0,0,0,0,0,124.47,110.4,0,0,0,0,0,0,110.52,0,0,0,142.87,182.59,0,0,0,0,0,0,0,128.43,107.33,156.57,144.18,0,122.08,0,0,102.66,0,0,0,160.59,0,142.99,0,0,114.6,100.44,0,0,0,0,0,0,0,0,116.68,166.56,0,0,0,102.92,0,0,0,0,164.74,0,0,0,118.65,103.8,0,125.1,0,106.99,0,0,0,0,113.6,133.55,0,0,119.73,121.44,129.61,130.13,129.49,129.63,129.63,129.45,129.45,203.32,203.51,203.83,0,0,0,0,0,0,0,0,123.02,149.7,129.27,0,0,0,0,0,0,0,151.55,102.8,0,0,0,0,118.18,0,0,0,0,0,0,134.88,130.31,0,0,0,0,0,0,113.83,111.17,106.07,136.55,110.98,103.19,0,0,0,0,0,122.96,0,0,0,0,0,0,0,0,0,0,133.6,0,0,0,149.61,104.04,0,0,0,0,0,0,0,0,0,99.3,119.98,0,0,0,118.28,132.26,0,0,0,106.05,137.4,0,0,0,100.11,152.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.16,131.08,110.07,113.35,113.25,105.28,170.57,170.5,0,107.77,0,113.13,0,0,0,0,0,107.88,109.4,148.41,0,0,0,124.67,105.37,0,111.58,0,110.1,0,218.72,164.25,0,0,0,136.6,120.04,150.5,112.49,134.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.33,136.35,153.36,166.06,120.9,120.92,0,0,0,104.61,0,0
02.04.2010,0,125.8,0,0,106.34,0,0,141.59,141.59,141.53,0,0,0,0,0,0,0,0,127.39,115.42,0,0,0,0,0,0,116.31,0,0,0,145.6,185.54,0,0,0,0,0,0,0,131.37,108.86,159,146.79,0,125.38,0,0,105.16,0,0,0,170,0,145.47,0,0,115.75,102.59,101.9,0,101.86,0,0,0,0,0,118.23,168.92,0,0,0,103.6,0,0,0,0,167.89,0,0,0,118.65,103.8,0,125.1,0,107.74,0,0,0,0,113.6,134.71,0,0,121.88,123.51,130.42,131.65,131.65,131.63,131.63,131.33,131.41,206.35,206.29,206.28,0,0,0,0,0,0,0,0,124.75,152.71,131.82,0,0,0,0,0,0,0,151.59,104.75,0,0,0,0,124.12,0,0,0,0,0,0,136.61,132.39,0,0,0,0,0,0,113.83,112.73,107.13,138.56,113.41,105.07,0,0,0,0,0,126.54,0,0,0,0,0,0,0,0,0,0,135.79,0,0,0,151.48,105.23,0,0,0,0,0,0,0,0,0,95.82,126.56,0,0,0,119.83,133.63,0,0,0,109.97,141.31,0,0,0,106.52,159.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.83,138.28,112.54,115.32,114.84,108.3,173.08,173.09,0,107.77,0,114.81,0,0,0,0,0,107.88,104.66,151.85,0,0,0,123.6,105.37,0,113.62,0,112.14,0,221.4,166.4,0,0,0,100.97,121.83,153.67,112.49,135.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.12,142.45,156.73,107.18,123.76,123.73,0,0,0,107.58,0,0
